10,1000,35.977
10,100,41.349
10,1100,36.626
10,1200,38.693
10,1300,39.738
10,1400,41.441
10,200,34.589
10,300,32.086
10,400,31.587
10,500,31.764
10,600,34.183
10,700,33.205
10,800,34.274
10,900,34.725
1,1000,42.343
1,100,113.720
11,1000,35.922
1,1100,46.862
11,100,41.348
11,1100,36.687
11,1200,38.415
11,1300,39.547
11,1400,41.007
1,1200,45.055
11,200,34.412
1,1300,45.776
11,300,32.112
1,1400,47.033
11,400,32.406
11,500,32.116
11,600,32.357
11,700,33.146
11,800,34.802
11,900,35.078
1,200,102.435
12,1000,36.564
12,100,42.961
12,1100,37.904
12,1200,39.012
12,1300,40.413
12,1400,42.006
12,200,35.070
12,300,32.227
12,400,33.548
12,500,32.036
12,600,32.850
12,700,33.824
12,800,34.404
12,900,35.597
1,300,61.807
13,1000,35.618
13,100,29.578
13,1100,37.121
13,1200,38.359
13,1300,39.737
13,1400,41.498
13,200,27.228
13,300,26.575
13,400,27.424
13,500,29.971
13,600,30.738
13,700,32.981
13,800,33.228
13,900,34.211
1,400,49.915
14,1000,35.451
14,100,30.995
14,1100,37.881
14,1200,38.791
14,1300,39.656
14,1400,42.064
14,200,26.429
14,300,26.776
14,400,28.154
14,500,29.383
14,600,30.702
14,700,32.683
14,800,33.264
14,900,34.343
1,500,42.782
15,1000,35.579
15,100,30.980
15,1100,37.161
15,1200,38.668
15,1300,39.467
15,1400,42.321
15,200,26.966
15,300,26.525
15,400,27.588
15,500,29.905
15,600,31.102
15,700,33.008
15,800,33.236
15,900,34.470
1,600,42.421
16,1000,36.169
16,100,31.599
16,1100,37.160
16,1200,38.338
16,1300,40.870
16,1400,42.793
16,200,26.637
16,300,27.273
16,400,27.981
16,500,29.746
16,600,31.118
16,700,32.554
16,800,33.219
16,900,35.395
1,700,40.882
17,1000,36.130
17,100,30.684
17,1100,37.091
17,1200,38.960
17,1300,39.679
17,1400,42.320
17,200,26.699
17,300,26.950
17,400,29.586
17,500,30.835
17,600,31.046
17,700,32.367
17,800,34.026
17,900,35.157
1,800,41.764
18,1000,36.337
18,100,31.844
18,1100,39.176
18,1200,39.198
18,1300,40.616
18,1400,43.034
18,200,26.913
18,300,27.778
18,400,28.695
18,500,30.068
18,600,30.802
18,700,33.073
18,800,34.256
18,900,35.645
1,900,42.251
19,1000,37.307
19,100,31.251
19,1100,39.218
